RA,Nome,Gênero,Turma,Instituição de ensino,Ano ingresso,Fase,Fase Ideal,Defasagem,Pedra 2023,INDE 2022,INDE 2023,Data de Nasc,Idade,Pedra 20,Pedra 21,Pedra 22,Pedra 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Destaque IEG,Destaque IDA,Destaque IPV,Ano
RA-191,Aluno-191,Masculino,4A,Privada - Programa de Apadrinhamento,2019,FASE 4,Fase 4 (9° ano),0,Ametista,8.74,7.263666667,5/21/2009,14.0,Topázio,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.7,2.52,8.125,,7.8,8.7,7.0,7.8,,,8.4625,10.0,,,,2023
RA-1173,Aluno-1173,Masculino,4A,Pública,2023,FASE 4,Fase 4 (9° ano),0,Ametista,,7.67285,5/31/2009,14.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.7,2.52,7.8125,,6.0,7.0,5.0,6.0,,,8.1225,10.0,,,,2023
RA-217,Aluno-217,Feminino,4B,Pública,2021,FASE 4,Fase 5 (1° EM),-1,Agata,7.397,6.96965,2007-03-11 00:00:00,,,Ametista,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,8.6,2.52,8.4375,,5.6,6.7,5.3,4.8,,,8.5025,5.0,,,,2023
RA-1174,Aluno-1174,Feminino,4B,Pública,2023,FASE 4,Fase 5 (1° EM),-1,Ametista,,7.333591667,10/19/2008,15.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.2,8.7,2.52,8.90625,,6.8,6.5,7.2,6.8,,,8.3375,5.0,,,,2023
RA-192,Aluno-192,Masculino,4B,Privada,2021,FASE 4,Fase 6 (2° EM),-2,Agata,4.932,6.616016667,1/16/2007,16.0,,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,6.2,5.0,7.1875,,6.5,6.0,5.8,7.8,,,7.3775,5.0,,,,2023
RA-184,Aluno-184,Masculino,4B,Pública,2019,FASE 4,Fase 3 (7° e 8° ano),1,Topázio,7.28,8.430241667,3/27/2010,13.0,Ametista,Ametista,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,9.5,7.52,8.59375,,7.1,7.3,6.3,7.8,,,8.5025,10.0,,,,2023
RA-200,Aluno-200,Masculino,4B,Privada - Programa de Apadrinhamento,2018,FASE 4,Fase 6 (2° EM),-2,Quartzo,5.705,5.661166667,7/14/2007,16.0,Quartzo,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,4.5,2.52,7.5,,4.3,4.3,4.2,4.5,,,7.17,5.0,,,,2023
RA-1175,Aluno-1175,Feminino,4B,Pública,2023,FASE 4,Fase 7 (3° EM),-3,Quartzo,,5.939858333,2006-03-08 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,5.3,2.52,7.65625,,6.3,6.3,6.3,6.2,,,7.6275,2.5,,,,2023
RA-204,Aluno-204,Feminino,4B,Pública,2019,FASE 4,Fase 4 (9° ano),0,Ametista,6.943,7.557558333,2009-08-08 00:00:00,,Ametista,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,7.9,2.52,8.28125,,7.1,4.7,8.0,8.5,,,8.045,10.0,,,,2023
RA-1176,Aluno-1176,Masculino,4B,Pública,2023,FASE 4,Fase 3 (7° e 8° ano),1,Topázio,,8.881483333,5/23/2010,13.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,9.3,7.52,9.6875,,8.2,8.0,7.8,8.7,,,9.17,10.0,,,,2023
RA-1177,Aluno-1177,Feminino,4B,Pública,2023,FASE 4,Fase 4 (9° ano),0,Topázio,,8.345491667,11/15/2008,14.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,10.0,9.9,2.52,8.90625,,7.2,7.0,6.7,8.0,,,8.88,10.0,,,,2023
RA-215,Aluno-215,Feminino,4C,Pública,2021,FASE 4,Fase 4 (9° ano),0,Ametista,7.172,7.166475,2/21/2009,14.0,,Ágata,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,6.6,2.52,7.96875,,6.9,5.7,6.7,8.3,,,7.7125,10.0,,,,2023
RA-1178,Aluno-1178,Masculino,4C,Pública,2023,FASE 4,Fase 6 (2° EM),-2,Ametista,,7.066475,2007-01-05 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.3,2.52,7.96875,,5.7,6.3,4.5,6.3,,,8.2125,5.0,,,,2023
RA-149,Aluno-149,Feminino,4C,Pública,2022,FASE 4,Fase 6 (2° EM),-2,Quartzo,6.323,5.622266667,2007-05-02 00:00:00,,,,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,4.2,2.52,7.5,,4.7,5.7,3.5,5.0,,,7.2925,5.0,,,,2023
RA-1179,Aluno-1179,Masculino,4C,Pública,2023,FASE 4,Fase 5 (1° EM),-1,Agata,,6.631333333,2008-12-05 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,8.1,4.38,6.875,,5.0,6.7,3.7,4.5,,,7.17,5.0,,,,2023
RA-218,Aluno-218,Feminino,4C,Pública,2022,FASE 4,Fase 5 (1° EM),-1,Quartzo,6.1,5.811541667,7/17/2008,15.0,,,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,6.7,2.52,7.96875,,6.7,5.7,7.0,7.5,,,7.88,5.0,,,,2023
RA-220,Aluno-220,Feminino,4C,Pública,2022,FASE 4,Fase 4 (9° ano),0,Ametista,7.028,7.102016667,1/30/2009,14.0,,,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,7.6,2.52,7.1875,,6.1,6.3,5.8,6.3,,,7.5475,10.0,,,,2023
RA-202,Aluno-202,Feminino,4C,Pública,2017,FASE 4,Fase 5 (1° EM),-1,Agata,5.201,6.791641667,2008-02-06 00:00:00,,Ametista,Ametista,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,7.9,2.52,7.96875,,5.9,6.3,4.8,6.7,,,8.005,5.0,,,,2023
RA-1180,Aluno-1180,Masculino,4C,Pública,2023,FASE 4,Fase 5 (1° EM),-1,Ametista,,7.067983333,8/28/2008,15.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,9.5,5.0,7.1875,,5.4,6.0,4.8,5.3,,,7.7125,5.0,,,,2023
RA-1181,Aluno-1181,Feminino,4C,Pública,2023,FASE 4,Fase 4 (9° ano),0,Agata,,6.971266667,2009-05-01 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,8.3,2.52,7.5,,4.8,5.7,4.3,4.5,,,7.3375,10.0,,,,2023
RA-1182,Aluno-1182,Feminino,4C,Pública,2023,FASE 4,Fase 6 (2° EM),-2,Quartzo,,5.709808333,2007-11-02 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,6.3,2.52,6.71875,,4.2,5.3,2.0,5.2,,,7.2125,5.0,,,,2023
RA-205,Aluno-205,Masculino,4C,Pública,2020,FASE 4,Fase 5 (1° EM),-1,Agata,5.372,6.857625,2008-07-03 00:00:00,,Ametista,Ametista,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,7.6,4.38,7.03125,,6.6,7.0,5.5,7.3,,,7.09,5.0,,,,2023
RA-1183,Aluno-1183,Masculino,4C,Pública,2023,FASE 4,Fase 5 (1° EM),-1,Agata,,6.269541667,11/24/2007,15.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,8.7,2.52,6.09375,,5.3,6.0,4.0,6.0,,,6.7575,5.0,,,,2023
RA-237,Aluno-237,Feminino,4F,Privada - Programa de Apadrinhamento,2022,FASE 4,Fase 5 (1° EM),-1,Ametista,8.084,7.436566667,6/25/2008,15.0,,,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,9.5,2.52,8.125,,6.7,7.7,7.0,5.5,,,8.96,5.0,,,,2023
RA-147,Aluno-147,Feminino,4F,Pública,2022,FASE 4,Fase 5 (1° EM),-1,Quartzo,7.541,5.5425,3/19/2008,15.0,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,7.0,5.63,6.875,,4.5,5.0,6.0,2.5,,,7.46,5.0,,,,2023
RA-240,Aluno-240,Feminino,4F,Privada - Programa de Apadrinhamento,2017,FASE 4,Fase 4 (9° ano),0,Agata,6.943,6.337966667,2009-08-01 00:00:00,,Ametista,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.1,6.7,2.52,6.875,,4.8,7.0,3.3,4.2,,,6.9175,10.0,,,,2023
RA-1184,Aluno-1184,Masculino,4F,Pública,2023,FASE 4,Fase 6 (2° EM),-2,Ametista,,7.381566667,2007-09-08 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,8.3,5.0,8.125,,7.3,8.0,5.5,8.5,,,8.045,5.0,,,,2023
RA-241,Aluno-241,Masculino,4F,Privada - Programa de Apadrinhamento,2016,FASE 4,Fase 5 (1° EM),-1,Ametista,8.468,7.016,2008-06-10 00:00:00,,Ametista,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.9,2.52,8.75,,7.5,9.3,7.0,6.2,,,9.545,5.0,,,,2023
RA-242,Aluno-242,Masculino,4F,Privada - Programa de Apadrinhamento,2018,FASE 4,Fase 4 (9° ano),0,Topázio,8.673,8.221841667,2/26/2009,14.0,Ametista,Ametista,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.1,9.7,2.52,8.59375,,7.9,9.3,7.3,7.2,,,9.3775,10.0,,,,2023
RA-138,Aluno-138,Masculino,4F,Pública,2016,FASE 4,Fase 6 (2° EM),-2,Agata,6.738,6.784075,3/16/2007,16.0,Ametista,Ágata,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,10.0,7.9,6.26,7.34375,,4.3,4.0,3.7,5.2,,,7.4175,5.0,,,,2023
RA-244,Aluno-244,Feminino,4F,Privada - Programa de Apadrinhamento,2018,FASE 4,Fase 3 (7° e 8° ano),1,Ametista,8.51,7.044333333,3/30/2010,13.0,Topázio,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,8.8,2.52,8.125,,7.3,7.0,8.0,6.8,,,8.8325,10.0,,,,2023
RA-245,Aluno-245,Masculino,4F,Privada - Programa de Apadrinhamento,2016,FASE 4,Fase 5 (1° EM),-1,Ametista,8.656,7.171166667,2008-06-10 00:00:00,,Ametista,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,10.0,2.52,8.75,,8.1,9.3,7.8,7.3,,,9.5875,5.0,,,,2023
RA-246,Aluno-246,Masculino,4F,Privada,2022,FASE 4,Fase 4 (9° ano),0,Topázio,8.639,8.256766667,2009-08-04 00:00:00,,,,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.9,4.39,8.125,,6.8,7.7,7.0,5.8,,,8.9175,10.0,,,,2023
RA-141,Aluno-141,Masculino,4F,Pública,2017,FASE 4,Fase 5 (1° EM),-1,Agata,7.118,6.719791667,5/28/2008,15.0,Ágata,Ágata,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,8.4,5.63,7.03125,,4.5,6.0,5.3,2.3,,,7.0425,5.0,,,,2023
RA-239,Aluno-239,Feminino,4G,Pública,2021,FASE 4,Fase 6 (2° EM),-2,Agata,4.572,6.411333333,5/22/2007,16.0,,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,8.4,5.0,8.125,,7.0,6.0,7.2,7.7,,,7.6275,5.0,,,,2023
RA-1185,Aluno-1185,Feminino,4G,Pública,2023,FASE 4,Fase 3 (7° e 8° ano),1,Topázio,,8.02675,2010-11-05 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,9.1,5.0,7.8125,,7.5,6.7,6.3,9.5,,,8.3775,10.0,,,,2023
RA-262,Aluno-262,Masculino,4G,Privada,2021,FASE 4,Fase 6 (2° EM),-2,Quartzo,4.786,4.406458333,2007-06-07 00:00:00,,,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,3.7,5.0,7.03125,,3.8,5.0,3.3,3.0,,,6.05,5.0,,,,2023
RA-1186,Aluno-1186,Feminino,4G,Pública,2023,FASE 4,Fase 6 (2° EM),-2,Ametista,,7.281433333,2007-08-01 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.8,6.89,6.875,,5.5,6.7,5.2,4.5,,,7.3825,5.0,,,,2023
RA-397,Aluno-397,Feminino,4G,Pública,2017,FASE 4,Fase 5 (1° EM),-1,Agata,5.852,6.207083333,5/13/2008,15.0,Quartzo,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,7.9,2.52,7.1875,,4.6,6.7,5.0,2.0,,,7.465,5.0,,,,2023
RA-1187,Aluno-1187,Feminino,4G,Pública,2023,FASE 4,Fase 3 (7° e 8° ano),1,Agata,,6.644475,2/19/2010,13.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,6.9,2.52,7.34375,,5.3,4.7,5.0,6.2,,,6.715,10.0,,,,2023
RA-145,Aluno-145,Masculino,4H,Pública,2017,FASE 4,Fase 7 (3° EM),-3,,5.846,,7/27/2006,17.0,Ágata,Ágata,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,9.0,,7.96875,,6.2,5.3,6.0,7.2,,,7.4625,2.5,,,,2023
RA-1188,Aluno-1188,Feminino,4H,Pública,2023,FASE 4,Fase 5 (1° EM),-1,,,,1/13/2008,15.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,9.4,,7.8125,,6.4,6.5,7.5,5.2,,,7.5875,5.0,,,,2023
RA-265,Aluno-265,Masculino,4H,Pública,2019,FASE 4,Fase 4 (9° ano),0,,7.926,,8/26/2009,14.0,Ametista,Ametista,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,8.7,,7.96875,,7.0,7.3,6.8,6.8,,,7.88,10.0,,,,2023
RA-254,Aluno-254,Masculino,4H,Pública,2019,FASE 4,Fase 5 (1° EM),-1,,6.715,,3/26/2008,15.0,Ametista,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,8.8,,7.8125,,5.9,5.7,5.7,6.2,,,7.71,5.0,,,,2023
RA-267,Aluno-267,Feminino,4H,Pública,2016,FASE 4,Fase 6 (2° EM),-2,,6.012,,1/19/2007,16.0,Ágata,Quartzo,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,7.7,,4.6875,,2.7,2.7,4.0,1.3,,,6.505,5.0,,,,2023
RA-1189,Aluno-1189,Feminino,4H,Pública,2023,FASE 4,Fase 5 (1° EM),-1,,,,2008-05-04 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.0,,7.8125,,6.1,6.3,5.7,6.2,,,7.3775,5.0,,,,2023
RA-295,Aluno-295,Feminino,4L,Pública,2022,FASE 4,Fase 5 (1° EM),-1,Ametista,7.305,7.641016667,2/28/2008,15.0,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,8.8,2.52,9.0625,,7.7,7.3,7.2,8.7,,,9.005,5.0,,,,2023
RA-269,Aluno-269,Masculino,4L,Pública,2022,FASE 4,Fase 4 (9° ano),0,Topázio,8.231,8.116041667,3/28/2009,14.0,,,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,9.0,2.52,8.59375,,7.4,8.0,7.3,7.0,,,8.7975,10.0,,,,2023
RA-313,Aluno-313,Feminino,4L,Pública,2022,FASE 4,Fase 4 (9° ano),0,Ametista,5.8,7.011091667,11/18/2008,14.0,,,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.2,8.7,2.52,7.65625,,3.9,4.0,2.8,5.0,,,7.75,10.0,,,,2023
RA-1190,Aluno-1190,Masculino,4L,Pública,2023,FASE 4,Fase 4 (9° ano),0,Agata,,6.330041667,2009-03-02 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.2,5.0,7.34375,,4.2,3.0,4.2,5.5,,,7.045,10.0,,,,2023
RA-301,Aluno-301,Feminino,4L,Pública,2019,FASE 4,Fase 4 (9° ano),0,Agata,6.802,6.760341667,2009-11-07 00:00:00,,Ametista,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.2,5.4,7.52,6.71875,,5.2,4.7,6.5,4.5,,,6.465,10.0,,,,2023
RA-286,Aluno-286,Feminino,4L,Pública,2022,FASE 4,Fase 5 (1° EM),-1,Quartzo,5.424,5.713333333,11/20/2007,15.0,,,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,7.5,5.0,8.125,,4.7,3.7,5.0,5.3,,,7.3375,5.0,,,,2023
RA-1191,Aluno-1191,Masculino,4L,Pública,2023,FASE 4,Fase 4 (9° ano),0,Agata,,6.175333333,2009-07-01 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,7.2,5.0,5.0,,3.7,2.3,2.5,6.2,,,6.26,10.0,,,,2023
RA-1192,Aluno-1192,Feminino,4L,Pública,2023,FASE 4,Fase 5 (1° EM),-1,Agata,,6.780741667,11/27/2007,15.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,8.7,2.52,7.96875,,5.8,4.7,6.0,6.8,,,7.6675,5.0,,,,2023
RA-174,Aluno-174,Feminino,4L,Pública,2019,FASE 4,Fase 6 (2° EM),-2,Agata,6.075,6.1242,9/15/2007,16.0,Ágata,Ágata,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,5.6,5.0,7.5,,5.1,3.7,7.3,4.3,,,7.2125,5.0,,,,2023
RA-1193,Aluno-1193,Feminino,4L,Pública,2023,FASE 4,Fase 4 (9° ano),0,Agata,,6.018083333,2009-03-01 00:00:00,,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,7.8,5.0,7.1875,,4.1,3.7,3.5,5.0,,,7.13,10.0,,,,2023
RA-308,Aluno-308,Masculino,4L,Pública,2019,FASE 4,Fase 4 (9° ano),0,Agata,6.93,6.578558333,9/22/2009,14.0,Ametista,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,5.4,6.8,5.0,7.03125,,4.9,4.7,5.2,4.7,,,7.5025,10.0,,,,2023
RA-152,Aluno-152,Feminino,4M,Pública,2022,FASE 4,Fase 6 (2° EM),-2,Agata,6.712,6.30695,11/30/2006,16.0,,,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,7.7,2.52,7.8125,,4.5,4.0,5.0,4.5,,,7.71,5.0,,,,2023
RA-270,Aluno-270,Feminino,4M,Privada - Programa de Apadrinhamento,2019,FASE 4,Fase 4 (9° ano),0,Ametista,8.226,7.982633333,2/28/2009,14.0,Ametista,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.2,9.0,2.52,8.75,,6.6,7.7,6.2,5.8,,,9.1275,10.0,,,,2023
RA-271,Aluno-271,Feminino,4M,Pública,2022,FASE 4,Fase 6 (2° EM),-2,Agata,7.255,6.140333333,10/16/2007,16.0,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.3,2.52,8.125,,5.9,4.3,7.0,6.3,,,7.7125,5.0,,,,2023
RA-299,Aluno-299,Feminino,4M,Privada - Programa de Apadrinhamento,2019,FASE 4,Fase 4 (9° ano),0,Agata,7.278,6.796541667,7/28/2009,14.0,Topázio,Ametista,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.6,2.52,7.96875,,6.1,5.0,7.2,6.2,,,8.005,10.0,,,,2023
RA-316,Aluno-316,Feminino,4M,Pública,2022,FASE 4,Fase 4 (9° ano),0,Topázio,7.889,8.436908333,11/20/2008,14.0,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,10.0,9.5,7.52,8.59375,,5.7,6.3,5.7,5.0,,,8.96,10.0,,,,2023
RA-318,Aluno-318,Feminino,4M,Pública,2019,FASE 4,Fase 5 (1° EM),-1,Agata,6.527,6.856575,1/30/2008,15.0,Ágata,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.9,8.1,6.26,7.96875,,4.9,5.0,5.0,4.7,,,7.71,5.0,,,,2023
RA-274,Aluno-274,Feminino,4M,Privada - Programa de Apadrinhamento,2019,FASE 4,Fase 3 (7° e 8° ano),1,Topázio,7.946,8.137625,2/18/2011,12.0,Ametista,Topázio,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,7.5,9.5,5.63,7.65625,,7.5,7.0,7.7,7.8,,,8.295,10.0,,,,2023
RA-320,Aluno-320,Feminino,4M,Pública,2022,FASE 4,Fase 4 (9° ano),0,Topázio,7.897,8.393508333,11/20/2008,14.0,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.2,9.9,7.52,8.59375,,5.5,5.7,6.0,4.7,,,8.96,10.0,,,,2023
RA-277,Aluno-277,Masculino,4M,Pública,2021,FASE 4,Fase 5 (1° EM),-1,Ametista,7.411,7.7284,2008-12-09 00:00:00,,,Ametista,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,9.9,7.52,8.125,,5.5,5.7,6.0,4.8,,,8.7525,5.0,,,,2023
RA-278,Aluno-278,Masculino,4M,Pública,2018,FASE 4,Fase 3 (7° e 8° ano),1,Ametista,7.741,7.1935,5/17/2010,13.0,Ametista,Topázio,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,9.8,5.63,8.75,,5.6,6.0,5.3,5.5,,,8.3775,10.0,,,,2023
RA-291,Aluno-291,Masculino,4M,Privada - Programa de Apadrinhamento,2022,FASE 4,Fase 4 (9° ano),0,Topázio,8.122,8.493058333,1/17/2009,14.0,,,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,8.6,7.52,8.90625,,7.1,8.0,6.5,6.7,,,9.21,10.0,,,,2023
RA-306,Aluno-306,Feminino,4M,Pública,2021,FASE 4,Fase 5 (1° EM),-1,Quartzo,6.427,5.732375,2008-06-02 00:00:00,,,Ametista,Ágata,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,7.9,6.26,7.34375,,4.0,4.7,4.5,2.8,,,7.46,5.0,,,,2023
RA-279,Aluno-279,Masculino,4M,Pública,2019,FASE 4,Fase 4 (9° ano),0,Topázio,8.815,9.006266667,8/25/2009,14.0,Topázio,Topázio,Topázio,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,10.0,6.27,8.75,,8.9,9.0,8.5,9.3,,,9.2125,10.0,,,,2023
RA-280,Aluno-280,Feminino,4M,Privada - Programa de Apadrinhamento,2021,FASE 4,Fase 4 (9° ano),0,Topázio,8.046,8.189225,2009-04-07 00:00:00,,,Topázio,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,6.7,9.5,7.52,8.28125,,6.5,6.3,7.7,5.5,,,8.7125,10.0,,,,2023
RA-276,Aluno-276,Feminino,4M,Privada - Programa de Apadrinhamento,2017,FASE 4,Fase 4 (9° ano),0,Agata,5.527,6.690458333,2008-12-11 00:00:00,,Ágata,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,6.3,8.5,2.52,7.03125,,5.5,3.7,4.7,8.0,,,6.585,10.0,,,,2023
RA-285,Aluno-285,Feminino,4N,Pública,2020,FASE 4,Fase 7 (3° EM),-3,Quartzo,5.063,5.380358333,8/18/2006,17.0,Ametista,Quartzo,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.3,4.6,2.52,7.65625,,4.7,4.0,6.0,4.0,,,7.13,2.5,,,,2023
RA-1194,Aluno-1194,Masculino,4N,Pública,2023,FASE 4,Fase 3 (7° e 8° ano),1,Ametista,,7.671933333,8/21/2010,13.0,,,,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,8.8,9.0,5.0,7.5,,6.1,6.0,4.2,8.0,,,7.6675,10.0,,,,2023
RA-287,Aluno-287,Feminino,4N,Pública,2022,FASE 4,Fase 8 (Universitários),-4,Quartzo,3.7,3.745541667,7/13/2005,18.0,,,Quartzo,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,0.0,4.8,2.52,4.21875,,3.9,3.0,2.3,6.5,,,5.375,2.5,,,,2023
RA-319,Aluno-319,Masculino,4N,Concluiu o 3º EM,2022,FASE 4,Fase 4 (9° ano),0,Topázio,7.448,8.367208333,2009-07-07 00:00:00,,,,Ametista,,,,,4.0,Avaliador-21,,Avaliador-6,,Avaliador-23,,Avaliador-8,,9.6,9.2,5.0,8.59375,,7.2,5.7,5.8,10.0,,,8.88,10.0,,,,2023
